Time,i0_x,i0_y,i0_z,mag1_x,mag1_y,mag1_z,mag2_x,mag2_y,mag2_z,
1.6968,0.177837,0.984047,0.00502945,0.490177,-0.871571,-0.0095385,0.181138,0.983431,0.00727406,
1.7069,0.182248,0.983242,0.00462672,0.497764,-0.867273,-0.00822368,0.187331,0.982277,0.00629989,
1.717,0.186211,0.982502,0.00398712,0.504025,-0.863665,-0.00654494,0.192338,0.981317,0.00480288,
1.7271,0.189501,0.981876,0.00310816,0.508779,-0.860884,-0.0047038,0.195761,0.980647,0.00297823,
1.7372,0.191898,0.981413,0.00202341,0.512007,-0.858976,-0.00287617,0.197406,0.980321,0.00106298,
1.7473,0.193232,0.981153,0.000808612,0.513808,-0.857904,-0.00120064,0.197313,0.98034,-0.000700285,
1.7574,0.193423,0.981115,-0.00042415,0.514366,-0.857571,0.000221162,0.195736,0.980654,-0.00210117,
1.7675,0.19251,0.981294,-0.00154238,0.513922,-0.857836,0.00131685,0.193103,0.981174,-0.00299356,
1.7776,0.190659,0.981653,-0.00241489,0.512758,-0.858531,0.00203423,0.189937,0.981791,-0.00331544,
1.7877,0.188155,0.982135,-0.00293399,0.511187,-0.859466,0.00233599,0.186776,0.982398,-0.00309251,
1.7978,0.185364,0.982665,-0.00303347,0.509548,-0.860439,0.00220098,0.184088,0.982907,-0.00242506,
1.8079,0.182694,0.983166,-0.00269899,0.508194,-0.861241,0.00163154,0.182216,0.983257,-0.00146172,
1.818,0.180534,0.983567,-0.00196947,0.507469,-0.86167,0.000663527,0.181342,0.98342,-0.000366516,
1.8281,0.179215,0.98381,-0.000930398,0.507679,-0.861546,-0.000626024,0.181498,0.983391,0.000712595,
1.8382,0.178966,0.983855,0.00029897,0.509048,-0.860735,-0.00211847,0.182588,0.983188,0.00166658,
1.8483,0.179896,0.983684,0.00158168,0.511687,-0.859164,-0.0036631,0.184446,0.98284,0.00243521,
1.8584,0.181981,0.983298,0.00277972,0.515567,-0.856834,-0.00509588,0.186876,0.982379,0.0030034,
1.8685,0.185078,0.982717,0.00376922,0.52052,-0.853827,-0.00626375,0.189695,0.981837,0.00338752,
1.8786,0.188941,0.981978,0.00445314,0.52626,-0.850295,-0.00704817,0.192753,0.981241,0.00361702,
